case_id,set_id,author_ids,author_names,train,test,val
2,1,"[365, 98]","Henry Rider Haggard,Wilkie Collins","[888, 8184, 1368, 2769, 1438, 7891, 5228, 2841, 583, 1895, 1848, 1586, 2722, 170, 1917, 7894, 3155, 7893, 1587, 711, 1630, 2857, 9780, 155, 2721, 5745, 4605, 6769]","[2166, 5174, 43092, 1622, 3606, 1627, 5746, 1711]","[1625, 59422, 1690, 1975]"
2,2,"[8949, 73]","James Grant,Frances Hodgson Burnett","[68789, 37332, 25725, 65415, 68293, 15651, 6491, 55179, 15651, 146, 506, 54593, 1550, 64836, 54919, 68790, 25810, 113, 54918, 460, 5302, 68294, 55527, 65932, 67228, 17226, 54921, 384]","[459, 64254, 65080, 65294, 54920, 9487, 479, 50471]","[55528, 2514, 65393, 137]"
2,3,"[69, 593]","Arthur Conan Doyle,Bret Harte","[9504, 2348, 8394, 244, 36336, 2180, 2711, 2286, 12419, 5148, 2347, 2343, 2344, 2185, 2794, 356, 2867, 2712, 13152, 2350, 537, 2277, 11247, 2178, 2280, 1661, 2310, 2193]","[2695, 423, 2349, 2279, 1644, 2845, 2858, 2635]","[2345, 38443, 2793, 2723]"
2,4,"[260, 1321]","Oliver Optic,Marie Corelli","[24775, 24866, 24252, 18678, 4394, 21901, 23758, 52978, 3831, 18579, 18449, 4251, 4360, 44950, 67113, 5114, 42332, 5079, 66320, 59780, 6921, 14595, 65552, 4285, 24631, 26653, 68771, 15540]","[5165, 4653, 64152, 24554, 3823, 24124, 18264, 484]","[15920, 61716, 53097, 23351]"
2,5,"[260, 30]","Oliver Optic,H.G. Wells","[1264, 15920, 24866, 775, 39162, 12163, 1047, 24631, 24775, 35920, 35338, 24124, 484, 5230, 66409, 35, 18264, 18579, 34962, 65552, 159, 1013, 1059, 21901, 18678, 26653, 14595, 15540]","[23758, 24554, 14060, 524, 52978, 23351, 36, 718]","[24252, 780, 44950, 7308]"
2,6,"[593, 98]","Bret Harte,Wilkie Collins","[2178, 3606, 4605, 2858, 583, 888, 2711, 2180, 2867, 2310, 1895, 2280, 155, 36336, 7891, 1622, 2794, 12419, 2635, 43092, 7893, 2793, 1625, 7894, 1917, 2712, 170, 2279]","[1586, 2193, 1627, 2695, 2286, 1587, 1630, 2277]","[2185, 1438, 2723, 1975]"
2,7,"[260, 324]","Oliver Optic,Anthony Trollope","[18000, 5140, 7381, 21901, 24124, 24866, 65552, 18579, 24554, 3045, 26653, 33500, 24252, 18678, 30100, 58558, 23758, 5897, 24103, 23351, 52978, 2158, 24775, 19500, 2860, 24631, 619, 25579]","[15540, 4599, 3409, 5231, 23000, 18264, 44950, 15920]","[18640, 3166, 484, 14595]"
2,8,"[69, 979]","Arthur Conan Doyle,John Kendrick Bangs","[2344, 28069, 3324, 33623, 18881, 1661, 2845, 2348, 30853, 34465, 18207, 3162, 2349, 39871, 356, 423, 2350, 8394, 33432, 9504, 2618, 2345, 20559, 3169, 2343, 8377, 11247, 5148]","[38443, 244, 4930, 24130, 35374, 1644, 2347, 39682]","[35302, 13152, 537, 6995]"
2,9,"[102, 1177]","Louisa May Alcott,Mrs Henry Wood","[42200, 39692, 2726, 2788, 9192, 40418, 514, 57321, 2786, 3322, 26041, 36221, 58046, 16798, 58582, 58086, 2804, 4770, 58774, 2787, 58288, 38832, 39693, 3795, 8188, 28203, 36106, 8677]","[58431, 54212, 5830, 15627, 3499, 57875, 39377, 8694]","[40682, 34587, 58701, 40683]"
2,10,"[73, 1177]","Frances Hodgson Burnett,Mrs Henry Wood","[57875, 460, 113, 50471, 39692, 39693, 459, 15627, 39377, 16798, 137, 9487, 2514, 58288, 15651, 1550, 58086, 5302, 384, 36106, 58774, 15651, 25810, 58701, 38832, 37332, 40418, 3322]","[479, 25725, 6491, 9192, 58046, 58582, 34587, 506]","[17226, 42200, 146, 58431]"
